skin_L skin_A skin_B eye_r eye_g eye_b eye_L eye_A eye_B hair_L hair_A hair_B hair_r1 hair_g1 hair_b1 hair_r2 hair_g2 hair_b2 hair_r3 hair_g3 hair_b3
161.736052 128.390019 107.460736 47 39 39 38.087719 131.105263 121.649123 128.575785 128.575785 129.611482 24 28 32 51 54 58 84 88 88 
160.441368 128.666602 109.569833 13 17 25 13.777778 131.092593 131.351852 128.439867 128.439867 130.976403 21 28 32 47 55 59 77 85 89 
164.165536 129.243779 110.099461 57 38 34 47.962500 131.762500 115.587500 128.950130 128.950130 130.467914 0 8 15 34 38 42 60 64 68 
143.843757 128.773400 107.360792 58 47 43 46.312500 129.362500 120.062500 128.788259 128.788259 130.253153 28 35 39 69 65 65 95 99 99 
163.240826 128.775747 108.542345 49 38 41 38.513158 132.131579 122.763158 129.699905 129.699905 126.183259 19 22 30 82 68 60 112 98 86 
157.313982 128.422370 106.928057 34 26 30 29.368421 131.964912 123.807018 129.410038 129.410038 130.106396 0 8 15 34 38 42 60 64 68 
178.604520 128.626826 113.703832 52 38 30 42.614035 129.771930 119.263158 126.449940 126.449940 125.700325 68 64 56 38 34 30 94 90 82 
169.545181 128.287240 109.212515 41 30 28 40.565789 130.381579 119.486842 128.302170 128.302170 127.789993 30 32 34 64 60 60 94 90 86 
166.504941 127.380583 109.917516 34 26 34 35.309524 132.035714 123.166667 128.918517 128.918517 130.091175 26 30 34 52 56 60 86 90 90 
166.376320 128.210607 109.196626 56 41 45 40.065789 132.657895 119.960526 130.682942 130.682942 130.578107 19 22 30 45 49 56 75 79 82 
152.541493 128.594197 108.419313 38 30 34 32.725490 131.117647 123.764706 130.820570 130.820570 125.453822 41 34 38 68 60 64 94 96 98 
144.562264 128.440998 108.459800 26 26 34 25.018519 132.574074 129.129630 127.664505 127.664505 123.724033 45 41 41 75 71 68 101 98 94 
162.984350 129.046609 107.834398 26 22 26 28.111111 130.814815 126.203704 127.741614 127.741614 126.853951 30 34 34 75 68 60 101 98 94 
164.789928 129.652649 107.751901 71 54 49 41.148148 132.092593 116.666667 130.135210 130.135210 128.134589 41 45 49 15 11 19 90 79 75 
175.056933 127.585418 110.017328 70 47 40 52.973684 131.315789 115.039474 129.014352 129.014352 128.477280 28 32 36 55 59 62 100 96 93 
171.513575 128.572705 109.417400 52 38 38 44.210526 131.578947 118.052632 129.772818 129.772818 131.411609 26 30 38 52 60 64 86 90 94 
153.277626 130.063835 108.092609 53 38 34 32.625000 130.812500 120.041667 126.971881 126.971881 125.099010 61 57 53 88 84 80 23 27 27 
165.088096 129.857366 108.033410 30 23 27 21.035088 132.578947 123.894737 129.700480 129.700480 129.871735 15 19 27 46 49 53 76 80 84 
160.517808 129.957683 108.435794 26 26 30 28.877193 130.543860 126.842105 127.626142 127.626142 128.682320 26 30 30 52 56 56 86 82 82 
170.236628 129.579501 110.011647 32 25 32 30.701754 132.877193 124.596491 129.214708 129.214708 130.516471 25 28 32 51 55 59 81 85 85 
153.037335 130.168242 106.637798 38 30 32 32.368421 131.578947 122.065789 129.539240 129.539240 129.782749 0 11 17 38 41 45 64 68 71 
158.129143 129.597841 106.597240 60 49 45 52.907895 129.236842 119.539474 128.380141 128.380141 131.420576 30 38 41 56 64 68 86 94 98 
154.704796 128.605189 110.693290 48 41 35 51.845238 126.178571 123.976190 128.014310 128.014310 129.628312 41 44 48 0 13 18 70 74 74 
172.414227 127.648383 110.138254 52 38 36 42.981481 131.777778 117.981481 128.581080 128.581080 129.317795 26 30 34 52 56 60 90 94 94 
150.865109 127.009527 108.513458 34 30 34 29.313725 130.627451 127.098039 127.303524 127.303524 128.649616 30 34 34 57 61 61 95 103 99 
161.213935 127.421741 107.418529 51 38 34 53.456140 128.912281 118.736842 127.529817 127.529817 126.855526 38 42 42 76 72 69 11 8 15 
167.898853 125.411415 114.135943 19 22 34 87.944444 128.000000 130.629630 126.329340 126.329340 123.862258 64 60 56 94 90 82 124 120 109 
