skin_L skin_A skin_B eye_r eye_g eye_b eye_L eye_A eye_B hair_L hair_A hair_B hair_r1 hair_g1 hair_b1 hair_r2 hair_g2 hair_b2 hair_r3 hair_g3 hair_b3
113.891970 130.226403 109.360196 40 40 43 47.881579 130.447368 126.381579 128.789513 128.789513 129.940448 28 32 36 59 62 62 85 89 89 
119.925162 129.477301 106.312834 37 33 37 80.916667 129.600000 122.466667 128.708750 128.708750 130.150456 29 33 37 57 61 65 90 96 96 
123.811425 129.006354 108.063450 39 33 39 34.438596 131.684211 124.982456 128.761389 128.761389 130.475585 27 31 35 58 62 62 0 4 10 
142.867682 126.975281 108.358409 28 28 35 36.596491 131.771930 128.491228 129.631462 129.631462 131.855789 20 28 35 50 58 61 80 87 91 
147.056221 127.055678 108.010737 72 78 80 82.287500 128.075000 131.487500 127.662559 127.662559 126.851294 27 30 34 72 70 69 103 99 95 
167.636768 128.801700 109.663048 68 49 39 58.500000 129.912500 117.312500 129.539111 129.539111 130.410478 0 9 15 34 38 41 60 64 68 
209.286586 127.421781 131.622114 242 251 255 252.000000 128.000000 133.000000 127.741628 127.741628 128.962498 4 8 11 34 38 38 61 65 65 
174.312147 128.696652 111.674240 146 112 112 110.438596 132.736842 113.684211 127.631854 127.631854 124.287196 34 30 26 60 56 52 86 82 79 
168.504521 128.321790 110.786186 38 30 34 30.631579 132.614035 122.438596 129.062305 129.062305 124.492098 26 22 22 52 49 49 86 79 75 
161.736052 128.390019 107.460736 43 34 36 55.550000 130.400000 122.666667 128.610217 128.610217 129.824104 24 28 32 51 54 58 84 88 92 
160.441368 128.666602 109.569833 13 13 21 15.228070 131.210526 129.736842 128.509412 128.509412 131.625108 21 28 32 47 55 59 77 85 89 
164.165536 129.243779 110.099461 68 49 45 61.333333 132.440476 117.345238 128.989864 128.989864 130.744125 0 8 15 34 38 42 60 64 68 
143.843757 128.773400 107.360792 54 43 39 44.988095 129.309524 121.654762 128.836573 128.836573 130.881295 28 35 39 69 65 65 102 104 104 
163.240826 128.775747 108.542345 34 26 34 44.387500 132.550000 124.737500 130.004595 130.004595 127.712244 19 22 30 64 56 56 90 82 82 
157.313982 128.422370 106.928057 45 34 36 36.983333 131.516667 122.150000 129.445815 129.445815 130.084215 0 8 15 34 38 42 60 64 68 
178.604520 128.626826 113.703832 58 41 34 60.250000 130.200000 119.266667 126.688742 126.688742 126.359635 49 45 41 75 71 68 8 11 15 
169.545181 128.287240 109.212515 64 49 45 51.900000 130.675000 118.487500 128.329249 128.329249 128.072410 30 32 34 64 60 60 90 86 86 
166.504941 127.380583 109.917516 41 34 38 50.102273 131.681818 122.840909 128.950269 128.950269 130.102563 26 30 34 52 56 60 84 86 86 
166.376320 128.210607 109.196626 49 34 38 45.800000 133.137500 120.400000 130.718679 130.718679 130.704365 19 22 30 45 49 56 75 79 82 
152.541493 128.594197 108.419313 45 38 38 36.074074 130.518519 123.388889 130.967196 130.967196 125.715216 41 34 38 68 60 64 96 94 101 
144.562264 128.440998 108.459800 22 22 30 25.771930 133.333333 129.491228 127.628648 127.628648 123.691483 45 41 41 75 71 68 109 101 94 
162.984350 129.046609 107.834398 26 22 28 50.350877 131.964912 123.684211 127.771725 127.771725 127.514763 30 34 34 68 64 60 98 94 86 
164.789928 129.652649 107.751901 71 52 45 51.350877 131.701754 115.771930 130.191916 130.191916 128.464189 41 45 49 15 11 19 68 71 75 
175.056933 127.585418 110.017328 59 36 36 84.112500 133.162500 118.225000 129.053362 129.053362 128.539899 28 32 36 55 59 62 102 93 89 
171.513575 128.572705 109.417400 71 56 52 55.000000 131.516667 117.150000 129.849654 129.849654 131.636817 26 30 38 52 60 64 82 88 94 
153.277626 130.063835 108.092609 46 30 29 43.392157 131.196078 116.882353 126.856447 126.856447 124.896706 61 57 53 88 84 80 23 27 27 
165.088096 129.857366 108.033410 38 27 30 24.100000 132.100000 121.583333 129.744741 129.744741 129.880262 15 19 27 46 49 53 72 76 78 
160.517808 129.957683 108.435794 41 34 38 45.316667 131.183333 124.350000 127.646983 127.646983 128.772982 26 30 30 52 56 56 86 82 81 
170.236628 129.579501 110.011647 36 28 36 43.600000 133.566667 124.283333 129.273746 129.273746 130.502091 25 28 32 51 55 59 79 83 85 
153.037335 130.168242 106.637798 41 30 34 42.937500 131.750000 122.200000 129.564843 129.564843 130.087779 0 11 17 38 41 45 64 68 71 
158.129143 129.597841 106.597240 56 45 41 71.437500 130.987500 117.675000 128.491383 128.491383 132.016223 30 38 41 56 64 68 90 98 101 
154.704796 128.605189 110.693290 59 59 52 68.829545 124.829545 125.727273 128.129133 128.129133 130.252302 41 44 48 0 13 18 70 74 74 
172.414227 127.648383 110.138254 54 38 38 49.000000 132.052632 118.157895 128.634329 128.634329 129.728320 26 30 34 52 56 60 90 94 94 
